city,neighborhood,property_type,square_meters,num_bedrooms,num_bathrooms,floor_level,year_built,heating_type,distance_to_center_km,price_eur,price_per_sq_meter,house_age
Fier,central,commercial,153.0,5.0,2.0,-1.0,2021.0,central,11.9,301410.0,1970.0,4.0
Vlore,central,commercial,78.0,4.0,2.0,1.0,1969.0,electric,14.2,146874.0,1883.0,56.0
Tirana,rural,villa,132.0,3.0,2.0,1.0,1969.0,none,11.3,170412.0,1291.0,56.0
Tirana,rural,commercial,166.0,5.0,2.0,-1.0,1995.0,none,10.9,319550.0,1925.0,30.0
Shkoder,central,villa,179.0,2.0,2.0,-1.0,1967.0,central,12.5,253464.0,1416.0,58.0
Shkoder,rural,house,157.0,3.0,2.0,0.0,2013.0,none,7.0,254968.0,1624.0,12.0
Durres,central,house,101.0,4.0,2.0,-1.0,2011.0,none,12.2,111807.0,1107.0,14.0
Vlore,central,apartment,188.0,5.0,1.0,1.0,1979.0,electric,0.6,272224.0,1448.0,46.0
Vlore,suburban,house,93.0,2.0,2.0,0.0,1991.0,electric,13.9,138849.0,1493.0,34.0
Elbasan,rural,commercial,141.0,3.0,1.0,1.0,2009.0,central,6.9,192606.0,1366.0,16.0
Elbasan,central,house,90.0,2.0,1.0,0.0,1973.0,electric,8.5,72000.0,800.0,52.0
Elbasan,central,villa,67.0,4.0,2.0,-1.0,2009.0,central,4.2,138489.0,2067.0,16.0
Shkoder,rural,house,133.0,2.0,2.0,1.0,1987.0,central,11.3,204554.0,1538.0,38.0
Vlore,suburban,apartment,131.0,1.0,1.0,0.0,2005.0,central,1.6,78207.0,597.0,20.0
Vlore,suburban,house,179.0,3.0,1.0,0.0,2011.0,none,13.2,271901.0,1519.0,14.0
Tirana,central,villa,164.0,2.0,2.0,-1.0,2012.0,electric,12.5,375232.0,2288.0,13.0
Shkoder,rural,villa,215.0,4.0,2.0,-1.0,1983.0,central,3.6,300785.0,1399.0,42.0
Fier,suburban,commercial,81.0,4.0,1.0,-1.0,1974.0,electric,12.2,144342.0,1782.0,51.0
Shkoder,rural,house,60.0,2.0,2.0,1.0,1981.0,central,11.9,56340.0,939.0,44.0
Fier,rural,villa,114.0,4.0,2.0,0.0,1989.0,electric,9.7,123120.0,1080.0,36.0
Tirana,central,apartment,102.0,5.0,2.0,-1.0,2022.0,electric,5.9,180846.0,1773.0,3.0
Durres,suburban,commercial,131.0,5.0,1.0,1.0,1963.0,central,4.4,255712.0,1952.0,62.0
Vlore,central,apartment,218.0,5.0,1.0,1.0,1972.0,none,3.9,371254.0,1703.0,53.0
Tirana,suburban,house,80.0,1.0,1.0,1.0,2018.0,electric,5.1,69680.0,871.0,7.0
Vlore,suburban,house,157.0,2.0,2.0,-1.0,1982.0,none,13.6,230162.0,1466.0,43.0
Elbasan,suburban,house,90.0,1.0,2.0,-1.0,1967.0,none,1.6,89010.0,989.0,58.0
Durres,suburban,commercial,46.0,4.0,1.0,0.0,1977.0,central,12.5,58282.0,1267.0,48.0
Durres,suburban,villa,125.0,1.0,1.0,0.0,1971.0,central,5.6,115000.0,920.0,54.0
Tirana,rural,commercial,75.0,4.0,1.0,-1.0,2014.0,central,8.1,82950.0,1106.0,11.0
Durres,central,apartment,149.0,4.0,2.0,1.0,1990.0,electric,12.0,277885.0,1865.0,35.0
Fier,rural,commercial,83.0,3.0,1.0,1.0,1973.0,central,13.3,141183.0,1701.0,52.0
Durres,suburban,apartment,155.0,5.0,1.0,1.0,1993.0,central,5.5,98890.0,638.0,32.0
Vlore,central,commercial,141.0,4.0,2.0,0.0,1977.0,electric,7.2,298074.0,2114.0,48.0
Vlore,suburban,villa,197.0,3.0,2.0,1.0,2015.0,electric,6.5,252554.0,1282.0,10.0
Vlore,central,apartment,210.0,5.0,2.0,0.0,1993.0,central,0.7,349020.0,1662.0,32.0
Vlore,rural,house,103.0,4.0,1.0,0.0,2022.0,central,4.8,110416.0,1072.0,3.0
Fier,central,house,166.0,4.0,2.0,1.0,1970.0,central,7.2,212480.0,1280.0,55.0
Shkoder,central,commercial,51.0,1.0,2.0,1.0,2000.0,central,6.5,97665.0,1915.0,25.0
Elbasan,central,house,82.0,1.0,1.0,-1.0,1971.0,none,11.0,107010.0,1305.0,54.0
Tirana,central,apartment,146.0,5.0,2.0,-1.0,2008.0,none,6.1,223672.0,1532.0,17.0
Vlore,central,house,165.0,4.0,1.0,1.0,1974.0,central,7.6,251460.0,1524.0,51.0
Durres,suburban,villa,172.0,2.0,1.0,0.0,2016.0,none,6.7,249744.0,1452.0,9.0
Vlore,central,villa,172.0,1.0,2.0,0.0,1990.0,electric,11.2,244756.0,1423.0,35.0
Durres,central,commercial,159.0,5.0,2.0,0.0,2008.0,none,13.0,465870.0,2930.0,17.0
Elbasan,rural,apartment,191.0,4.0,2.0,0.0,2017.0,none,8.2,203797.0,1067.0,8.0
Elbasan,central,villa,175.0,4.0,2.0,0.0,1988.0,central,11.9,243075.0,1389.0,37.0
Elbasan,rural,villa,148.0,2.0,2.0,-1.0,1985.0,none,4.8,139268.0,941.0,40.0
Durres,suburban,apartment,221.0,5.0,2.0,1.0,1977.0,none,8.3,245973.0,1113.0,48.0
Vlore,central,house,78.0,4.0,1.0,-1.0,1991.0,none,5.5,135096.0,1732.0,34.0
Elbasan,rural,house,153.0,1.0,1.0,0.0,1981.0,none,6.5,197676.0,1292.0,44.0
Fier,rural,commercial,104.0,2.0,2.0,0.0,1997.0,electric,11.1,123864.0,1191.0,28.0
Durres,suburban,house,130.0,5.0,1.0,0.0,1976.0,central,13.3,168740.0,1298.0,49.0
Durres,central,apartment,244.0,2.0,2.0,0.0,1982.0,central,2.3,395524.0,1621.0,43.0
Vlore,central,villa,172.0,1.0,1.0,1.0,1983.0,electric,9.7,388032.0,2256.0,42.0
Durres,rural,house,35.0,5.0,1.0,0.0,2009.0,none,8.9,61040.0,1744.0,16.0
Durres,central,commercial,38.0,2.0,1.0,1.0,1967.0,electric,2.2,65588.0,1726.0,58.0
Elbasan,rural,house,55.0,3.0,2.0,0.0,2000.0,none,3.6,64350.0,1170.0,25.0
Vlore,central,apartment,102.0,1.0,1.0,1.0,1965.0,electric,5.0,95676.0,938.0,60.0
Elbasan,rural,commercial,132.0,1.0,2.0,-1.0,1964.0,central,2.9,244860.0,1855.0,61.0
Elbasan,central,house,124.0,1.0,1.0,0.0,2003.0,central,4.0,200384.0,1616.0,22.0
Vlore,suburban,commercial,110.0,3.0,1.0,1.0,2016.0,central,4.4,126280.0,1148.0,9.0
Tirana,central,apartment,183.0,3.0,1.0,-1.0,1988.0,none,5.4,354654.0,1938.0,37.0
Elbasan,central,villa,105.0,4.0,1.0,0.0,1987.0,none,11.4,259665.0,2473.0,38.0
Fier,suburban,apartment,37.0,2.0,1.0,0.0,1970.0,electric,8.8,20794.0,562.0,55.0
Fier,central,apartment,141.0,4.0,2.0,0.0,2016.0,electric,14.8,127323.0,903.0,9.0
Durres,suburban,apartment,161.0,2.0,2.0,1.0,1960.0,central,6.5,187887.0,1167.0,65.0
Fier,central,apartment,111.0,3.0,1.0,1.0,2002.0,none,11.4,118992.0,1072.0,23.0
Durres,rural,villa,133.0,3.0,1.0,-1.0,1978.0,electric,13.1,80465.0,605.0,47.0
Tirana,rural,villa,131.0,4.0,1.0,1.0,1968.0,none,10.3,97726.0,746.0,57.0
Vlore,central,commercial,140.0,5.0,1.0,1.0,1986.0,none,6.5,235620.0,1683.0,39.0
Vlore,central,house,36.0,4.0,2.0,0.0,1993.0,central,11.4,64692.0,1797.0,32.0
Vlore,central,villa,104.0,2.0,1.0,0.0,2003.0,central,3.5,213304.0,2051.0,22.0
Fier,rural,villa,113.0,4.0,2.0,0.0,1963.0,none,5.2,129837.0,1149.0,62.0
Tirana,central,house,181.0,1.0,1.0,0.0,1995.0,none,8.4,166158.0,918.0,30.0
Fier,rural,villa,127.0,2.0,2.0,0.0,1977.0,none,8.8,113284.0,892.0,48.0
Fier,suburban,apartment,51.0,2.0,1.0,0.0,1974.0,none,0.8,44370.0,870.0,51.0
Tirana,rural,apartment,203.0,5.0,1.0,0.0,2010.0,central,14.2,150829.0,743.0,15.0
Tirana,rural,house,32.0,3.0,2.0,-1.0,1972.0,electric,10.6,44128.0,1379.0,53.0
Tirana,suburban,commercial,196.0,2.0,1.0,-1.0,1978.0,central,7.7,338100.0,1725.0,47.0
Tirana,rural,commercial,90.0,3.0,1.0,-1.0,2008.0,electric,14.0,109530.0,1217.0,17.0
Vlore,central,house,175.0,4.0,1.0,-1.0,1965.0,none,6.9,170800.0,976.0,60.0
Shkoder,central,house,83.0,1.0,2.0,0.0,2007.0,electric,14.7,91134.0,1098.0,18.0
Shkoder,rural,apartment,61.0,5.0,1.0,-1.0,2015.0,central,7.9,71675.0,1175.0,10.0
Tirana,central,commercial,136.0,3.0,1.0,0.0,1971.0,central,2.2,211752.0,1557.0,54.0
Shkoder,rural,villa,61.0,2.0,2.0,-1.0,2010.0,none,11.6,52948.0,868.0,15.0
Shkoder,central,apartment,190.0,3.0,2.0,1.0,1996.0,central,10.3,210330.0,1107.0,29.0
Tirana,central,house,74.0,2.0,2.0,-1.0,1976.0,none,11.7,101306.0,1369.0,49.0
Shkoder,rural,commercial,94.0,3.0,1.0,-1.0,2017.0,central,14.3,120978.0,1287.0,8.0
Fier,central,villa,171.0,2.0,1.0,0.0,1982.0,central,11.8,337896.0,1976.0,43.0
Durres,rural,villa,48.0,4.0,1.0,-1.0,1985.0,none,9.4,33792.0,704.0,40.0
Durres,central,apartment,124.0,2.0,2.0,1.0,1988.0,electric,12.9,185876.0,1499.0,37.0
Tirana,central,commercial,149.0,2.0,1.0,0.0,1992.0,central,10.3,449533.0,3017.0,33.0
Vlore,suburban,commercial,74.0,1.0,1.0,0.0,2019.0,electric,6.4,80068.0,1082.0,6.0
Tirana,suburban,house,37.0,2.0,2.0,-1.0,1986.0,central,13.3,36445.0,985.0,39.0
Vlore,rural,commercial,122.0,1.0,2.0,0.0,1984.0,central,3.7,152622.0,1251.0,41.0
Durres,suburban,commercial,188.0,5.0,2.0,0.0,2015.0,central,10.9,254552.0,1354.0,10.0
Tirana,rural,apartment,102.0,1.0,2.0,0.0,2014.0,central,13.3,121890.0,1195.0,11.0
Elbasan,suburban,commercial,84.0,4.0,2.0,0.0,1969.0,electric,11.1,150780.0,1795.0,56.0
Fier,central,villa,101.0,1.0,1.0,0.0,2006.0,electric,10.6,191496.0,1896.0,19.0
Shkoder,rural,apartment,120.0,5.0,2.0,0.0,1982.0,central,11.4,85080.0,709.0,43.0
Vlore,rural,apartment,113.0,4.0,1.0,1.0,1980.0,central,7.2,125204.0,1108.0,45.0
Elbasan,central,house,111.0,3.0,1.0,-1.0,1980.0,electric,13.2,138306.0,1246.0,45.0
Shkoder,rural,commercial,247.0,3.0,2.0,1.0,2002.0,none,3.4,360373.0,1459.0,23.0
Shkoder,rural,house,47.0,1.0,2.0,0.0,1972.0,none,2.3,83049.0,1767.0,53.0
Tirana,suburban,villa,112.0,1.0,2.0,0.0,1996.0,electric,4.6,119952.0,1071.0,29.0
Shkoder,rural,apartment,199.0,5.0,1.0,-1.0,1992.0,central,8.2,172931.0,869.0,33.0
Fier,central,apartment,86.0,5.0,2.0,1.0,1983.0,central,7.9,146114.0,1699.0,42.0
Elbasan,suburban,apartment,145.0,2.0,2.0,-1.0,2003.0,none,12.4,143695.0,991.0,22.0
Shkoder,suburban,villa,125.0,5.0,2.0,1.0,1970.0,none,6.4,92000.0,736.0,55.0
Tirana,central,villa,154.0,2.0,2.0,0.0,1976.0,electric,7.5,210364.0,1366.0,49.0
Fier,central,house,88.0,4.0,2.0,-1.0,1963.0,none,0.7,150568.0,1711.0,62.0
Durres,suburban,house,180.0,1.0,1.0,-1.0,2006.0,electric,6.4,176940.0,983.0,19.0
Elbasan,rural,house,57.0,4.0,1.0,0.0,1984.0,none,9.9,79059.0,1387.0,41.0
Shkoder,suburban,commercial,104.0,5.0,1.0,-1.0,1989.0,none,0.7,133744.0,1286.0,36.0
Tirana,central,apartment,90.0,4.0,2.0,1.0,1968.0,none,4.6,114390.0,1271.0,57.0
Durres,suburban,apartment,122.0,4.0,2.0,1.0,1980.0,central,3.5,106628.0,874.0,45.0
Durres,central,house,231.0,4.0,2.0,1.0,1979.0,central,1.1,335643.0,1453.0,46.0
Vlore,suburban,apartment,240.0,5.0,1.0,1.0,1978.0,central,7.4,248640.0,1036.0,47.0
Fier,rural,house,108.0,4.0,2.0,0.0,1978.0,none,3.1,141480.0,1310.0,47.0
Shkoder,suburban,commercial,146.0,2.0,2.0,-1.0,1971.0,electric,11.3,262946.0,1801.0,54.0
Tirana,suburban,commercial,145.0,5.0,2.0,1.0,1996.0,electric,12.8,228810.0,1578.0,29.0
Vlore,central,villa,118.0,4.0,1.0,0.0,2001.0,electric,8.4,268214.0,2273.0,24.0
Fier,central,commercial,143.0,5.0,2.0,-1.0,1976.0,electric,14.7,345917.0,2419.0,49.0
Vlore,central,house,93.0,3.0,1.0,-1.0,1996.0,central,7.0,121737.0,1309.0,29.0
Elbasan,suburban,commercial,197.0,2.0,2.0,0.0,2013.0,central,7.9,320913.0,1629.0,12.0
Fier,rural,villa,66.0,4.0,1.0,0.0,2007.0,none,14.8,44352.0,672.0,18.0
Fier,central,apartment,33.0,3.0,1.0,1.0,1998.0,none,3.9,56595.0,1715.0,27.0
Shkoder,central,house,177.0,3.0,1.0,-1.0,1987.0,electric,14.2,311343.0,1759.0,38.0
Fier,suburban,apartment,175.0,5.0,2.0,-1.0,2000.0,central,1.1,150325.0,859.0,25.0
Vlore,central,villa,69.0,3.0,2.0,0.0,1994.0,electric,7.0,140277.0,2033.0,31.0
Fier,rural,villa,119.0,2.0,1.0,-1.0,2006.0,none,1.5,96390.0,810.0,19.0
Shkoder,rural,villa,78.0,2.0,1.0,1.0,2007.0,none,11.1,111852.0,1434.0,18.0
Shkoder,central,apartment,165.0,1.0,2.0,-1.0,1977.0,electric,9.3,156915.0,951.0,48.0
Elbasan,central,apartment,134.0,2.0,2.0,0.0,1973.0,none,10.7,244952.0,1828.0,52.0
Vlore,suburban,apartment,213.0,3.0,1.0,0.0,1994.0,electric,5.9,147822.0,694.0,31.0
Durres,rural,apartment,146.0,2.0,2.0,1.0,2003.0,central,5.9,114172.0,782.0,22.0
Durres,rural,villa,167.0,5.0,2.0,1.0,2000.0,electric,1.2,177521.0,1063.0,25.0
Fier,central,villa,115.0,1.0,2.0,-1.0,2019.0,central,5.6,245640.0,2136.0,6.0
Elbasan,suburban,house,148.0,3.0,2.0,-1.0,1966.0,central,14.0,158360.0,1070.0,59.0
Tirana,rural,house,75.0,1.0,1.0,0.0,2000.0,none,6.0,72150.0,962.0,25.0
Fier,rural,apartment,68.0,3.0,2.0,1.0,1972.0,none,12.6,65212.0,959.0,53.0
Elbasan,suburban,commercial,184.0,5.0,2.0,1.0,1977.0,none,12.7,203136.0,1104.0,48.0
Vlore,suburban,commercial,87.0,1.0,1.0,1.0,1996.0,electric,5.9,147204.0,1692.0,29.0
Vlore,rural,villa,174.0,4.0,1.0,-1.0,1972.0,electric,9.7,200970.0,1155.0,53.0
Vlore,rural,villa,41.0,3.0,2.0,1.0,1995.0,none,1.9,36121.0,881.0,30.0
Vlore,suburban,villa,180.0,4.0,2.0,0.0,1990.0,electric,2.0,231480.0,1286.0,35.0
Vlore,rural,house,138.0,1.0,2.0,0.0,1961.0,none,1.2,132618.0,961.0,64.0
Elbasan,central,house,87.0,4.0,2.0,-1.0,1975.0,electric,8.9,155034.0,1782.0,50.0
Elbasan,central,villa,69.0,4.0,1.0,-1.0,1968.0,central,6.7,93150.0,1350.0,57.0
Shkoder,suburban,villa,50.0,1.0,1.0,1.0,1968.0,central,8.4,51650.0,1033.0,57.0
Durres,suburban,villa,192.0,5.0,1.0,-1.0,1997.0,none,8.1,278592.0,1451.0,28.0
Vlore,suburban,commercial,168.0,4.0,2.0,0.0,1970.0,electric,5.6,191352.0,1139.0,55.0
Tirana,central,house,55.0,4.0,2.0,1.0,2013.0,electric,10.3,69850.0,1270.0,12.0
Elbasan,rural,commercial,77.0,5.0,2.0,0.0,2015.0,central,11.5,87087.0,1131.0,10.0
Tirana,central,commercial,129.0,4.0,2.0,1.0,1981.0,central,0.7,204594.0,1586.0,44.0
Tirana,rural,villa,141.0,4.0,1.0,-1.0,1992.0,none,3.5,181467.0,1287.0,33.0
Tirana,central,villa,156.0,4.0,1.0,1.0,1995.0,central,10.8,184392.0,1182.0,30.0
Shkoder,rural,apartment,71.0,2.0,2.0,1.0,2004.0,none,6.1,61557.0,867.0,21.0
Elbasan,central,apartment,83.0,5.0,1.0,0.0,1982.0,central,10.1,77024.0,928.0,43.0
Tirana,suburban,commercial,107.0,4.0,2.0,0.0,2004.0,central,5.5,133215.0,1245.0,21.0
Vlore,central,house,51.0,5.0,2.0,1.0,2004.0,electric,6.2,71400.0,1400.0,21.0
Fier,rural,villa,188.0,3.0,1.0,-1.0,1993.0,central,2.8,221276.0,1177.0,32.0
Tirana,central,villa,66.0,3.0,2.0,-1.0,1968.0,central,4.2,110154.0,1669.0,57.0
Shkoder,central,commercial,98.0,4.0,2.0,0.0,1983.0,none,9.3,335356.0,3422.0,42.0
Elbasan,central,apartment,215.0,5.0,1.0,-1.0,1967.0,central,6.8,203820.0,948.0,58.0
Shkoder,suburban,house,110.0,5.0,2.0,0.0,1966.0,none,11.7,196240.0,1784.0,59.0
Tirana,central,apartment,91.0,5.0,2.0,-1.0,1995.0,central,12.9,150241.0,1651.0,30.0
Elbasan,suburban,apartment,109.0,2.0,1.0,1.0,1977.0,central,8.4,101588.0,932.0,48.0
Fier,suburban,apartment,140.0,3.0,2.0,0.0,1962.0,none,11.5,157780.0,1127.0,63.0
Tirana,central,apartment,83.0,5.0,1.0,0.0,1987.0,electric,5.0,103335.0,1245.0,38.0
Shkoder,central,villa,149.0,5.0,2.0,1.0,1965.0,none,6.5,280567.0,1883.0,60.0
Durres,central,villa,132.0,2.0,1.0,0.0,2003.0,none,10.8,170676.0,1293.0,22.0
Vlore,rural,apartment,118.0,2.0,1.0,-1.0,2003.0,none,6.1,75756.0,642.0,22.0
Shkoder,central,house,113.0,5.0,1.0,-1.0,1980.0,electric,9.0,118537.0,1049.0,45.0
Elbasan,suburban,commercial,179.0,1.0,2.0,0.0,1987.0,central,3.2,335983.0,1877.0,38.0
Tirana,central,house,119.0,5.0,1.0,-1.0,1999.0,none,9.2,207893.0,1747.0,26.0
Vlore,rural,house,192.0,5.0,1.0,0.0,2013.0,none,13.0,340608.0,1774.0,12.0
Tirana,central,house,138.0,2.0,1.0,1.0,2013.0,electric,13.1,151938.0,1101.0,12.0
Elbasan,rural,apartment,77.0,2.0,1.0,0.0,1960.0,none,11.0,40348.0,524.0,65.0
Tirana,rural,villa,135.0,5.0,1.0,1.0,1995.0,central,11.3,187380.0,1388.0,30.0
Durres,central,house,212.0,5.0,2.0,-1.0,1980.0,electric,8.6,377996.0,1783.0,45.0
Vlore,suburban,apartment,54.0,5.0,2.0,1.0,2019.0,central,9.0,30726.0,569.0,6.0
Vlore,rural,house,114.0,2.0,2.0,-1.0,2002.0,central,2.4,162336.0,1424.0,23.0
Elbasan,central,house,116.0,5.0,2.0,0.0,1994.0,electric,6.9,194184.0,1674.0,31.0
Durres,central,apartment,100.0,5.0,2.0,-1.0,1972.0,none,7.0,193500.0,1935.0,53.0
Shkoder,suburban,villa,40.0,4.0,2.0,0.0,2016.0,central,14.4,38520.0,963.0,9.0
Tirana,rural,villa,39.0,1.0,2.0,0.0,2008.0,central,6.8,35178.0,902.0,17.0
Fier,rural,commercial,187.0,3.0,1.0,1.0,2013.0,central,8.5,274890.0,1470.0,12.0
Tirana,central,apartment,83.0,1.0,2.0,1.0,2013.0,central,8.2,73870.0,890.0,12.0
Tirana,central,commercial,149.0,4.0,1.0,1.0,1969.0,electric,9.7,302321.0,2029.0,56.0
Shkoder,suburban,commercial,103.0,3.0,1.0,1.0,2012.0,electric,11.3,170980.0,1660.0,13.0
Tirana,suburban,commercial,122.0,5.0,2.0,-1.0,2003.0,central,3.8,242414.0,1987.0,22.0
Durres,rural,villa,59.0,4.0,1.0,-1.0,2006.0,none,8.2,78942.0,1338.0,19.0
Durres,rural,apartment,125.0,5.0,1.0,-1.0,2012.0,central,12.5,145250.0,1162.0,13.0
Vlore,central,commercial,163.0,2.0,1.0,0.0,1969.0,none,7.2,275633.0,1691.0,56.0
Elbasan,rural,apartment,134.0,4.0,1.0,-1.0,2005.0,central,4.5,140834.0,1051.0,20.0
Fier,suburban,apartment,30.0,2.0,2.0,-1.0,1972.0,none,10.0,22230.0,741.0,53.0
Tirana,suburban,villa,34.0,4.0,2.0,-1.0,1996.0,central,12.4,25058.0,737.0,29.0
Tirana,central,commercial,89.0,4.0,2.0,1.0,1997.0,none,1.4,164116.0,1844.0,28.0
Shkoder,suburban,commercial,57.0,2.0,2.0,-1.0,1983.0,central,11.8,67203.0,1179.0,42.0
Elbasan,suburban,apartment,70.0,3.0,2.0,0.0,1961.0,central,12.4,70140.0,1002.0,64.0
Durres,suburban,house,106.0,1.0,2.0,1.0,1981.0,none,7.2,106212.0,1002.0,44.0
Fier,suburban,villa,113.0,5.0,2.0,0.0,1976.0,electric,14.8,132436.0,1172.0,49.0
Vlore,central,villa,187.0,4.0,2.0,-1.0,1995.0,none,11.9,222717.0,1191.0,30.0
Durres,central,villa,77.0,5.0,2.0,1.0,1973.0,electric,11.7,77308.0,1004.0,52.0
Elbasan,rural,villa,170.0,2.0,2.0,0.0,1969.0,central,11.3,253130.0,1489.0,56.0
Vlore,suburban,commercial,136.0,5.0,1.0,-1.0,1994.0,none,2.7,168096.0,1236.0,31.0
Shkoder,rural,commercial,214.0,2.0,2.0,0.0,1984.0,none,3.6,362088.0,1692.0,41.0
Shkoder,central,house,118.0,5.0,1.0,0.0,1962.0,none,7.2,130980.0,1110.0,63.0
Tirana,central,villa,189.0,1.0,1.0,0.0,2006.0,electric,4.3,292572.0,1548.0,19.0
Elbasan,central,villa,93.0,1.0,1.0,-1.0,1997.0,electric,6.5,98115.0,1055.0,28.0
Fier,central,apartment,85.0,1.0,1.0,-1.0,1976.0,central,13.4,105570.0,1242.0,49.0
Vlore,central,commercial,57.0,1.0,2.0,0.0,1971.0,electric,12.5,157320.0,2760.0,54.0
Durres,central,villa,160.0,1.0,1.0,1.0,2013.0,electric,9.6,299040.0,1869.0,12.0
Elbasan,central,house,183.0,1.0,2.0,1.0,2011.0,central,12.9,303780.0,1660.0,14.0
Elbasan,suburban,house,177.0,2.0,2.0,-1.0,1983.0,none,11.9,176292.0,996.0,42.0
Shkoder,rural,commercial,238.0,4.0,1.0,-1.0,1988.0,none,6.7,376992.0,1584.0,37.0
Tirana,central,house,49.0,5.0,2.0,-1.0,2002.0,central,3.4,67130.0,1370.0,23.0
Tirana,suburban,house,163.0,1.0,1.0,-1.0,1984.0,none,8.0,252813.0,1551.0,41.0
Vlore,suburban,commercial,147.0,2.0,1.0,-1.0,1995.0,electric,11.2,222411.0,1513.0,30.0
Shkoder,rural,villa,199.0,2.0,2.0,1.0,2017.0,central,6.8,208552.0,1048.0,8.0
Elbasan,central,villa,106.0,2.0,2.0,-1.0,2019.0,central,10.2,144054.0,1359.0,6.0
Fier,rural,house,89.0,4.0,1.0,0.0,1985.0,central,1.9,133411.0,1499.0,40.0
Shkoder,central,house,95.0,5.0,2.0,0.0,1997.0,none,11.3,153710.0,1618.0,28.0
Vlore,suburban,villa,78.0,4.0,2.0,1.0,1960.0,central,12.3,49062.0,629.0,65.0
Vlore,suburban,commercial,50.0,3.0,2.0,0.0,1979.0,central,10.7,88900.0,1778.0,46.0
Shkoder,suburban,house,168.0,2.0,1.0,1.0,2014.0,central,14.5,300216.0,1787.0,11.0
Vlore,suburban,apartment,84.0,3.0,1.0,1.0,1987.0,none,12.5,50988.0,607.0,38.0
Shkoder,rural,commercial,128.0,1.0,2.0,0.0,1975.0,electric,13.6,235904.0,1843.0,50.0
Durres,central,house,98.0,1.0,2.0,-1.0,2006.0,central,14.0,169932.0,1734.0,19.0
Shkoder,central,house,210.0,4.0,2.0,0.0,1976.0,electric,12.1,294210.0,1401.0,49.0
Shkoder,rural,apartment,142.0,5.0,2.0,0.0,1999.0,none,10.3,134048.0,944.0,26.0
Vlore,central,apartment,228.0,3.0,2.0,1.0,1987.0,none,0.6,385776.0,1692.0,38.0
Vlore,suburban,villa,61.0,5.0,1.0,0.0,2017.0,none,7.3,63257.0,1037.0,8.0
Tirana,central,commercial,135.0,4.0,2.0,1.0,1971.0,none,8.8,301185.0,2231.0,54.0
Tirana,suburban,commercial,89.0,1.0,1.0,-1.0,1986.0,electric,4.9,168121.0,1889.0,39.0
Durres,rural,villa,230.0,5.0,2.0,-1.0,2013.0,central,5.1,277150.0,1205.0,12.0
Tirana,central,commercial,92.0,5.0,1.0,-1.0,2012.0,none,14.4,179952.0,1956.0,13.0
